startYear,runtimeMinutes
1942.0,97.8
1943.0,103.84
1944.0,104.12
1945.0,102.12
1946.0,104.16
1947.0,101.62
1948.0,101.9
1949.0,98.18
1950.0,96.24
1951.0,102.66
1952.0,104.0
1953.0,96.56
1954.0,104.94
1955.0,110.2
1956.0,106.0
1957.0,111.04
1958.0,112.28
1959.0,117.64
1960.0,114.78
1961.0,108.5
1962.0,116.74
1963.0,113.38
1964.0,114.26
1965.0,120.88
1966.0,119.62
1967.0,105.1
1968.0,112.66
1969.0,114.66
1970.0,117.18
1971.0,124.54
1972.0,111.5
1973.0,111.8
1974.0,112.82
1975.0,121.94
1976.0,118.24
1977.0,112.42
1978.0,112.96
1979.0,116.66
1980.0,116.26
1981.0,110.82
1982.0,114.96
1983.0,116.18
1984.0,113.96
1985.0,120.26
1986.0,107.16
1987.0,117.84
1988.0,119.16
1989.0,126.12
1990.0,121.14
1991.0,127.54
1992.0,118.78
1993.0,124.96
1994.0,126.16
1995.0,121.56
1996.0,122.04
1997.0,117.72
1998.0,121.3
1999.0,124.04
2000.0,121.48
2001.0,119.6
2002.0,118.02
2003.0,128.94
2004.0,123.5
2005.0,120.94
2006.0,123.02
2007.0,120.44
2008.0,110.66
2009.0,120.44
2010.0,116.34
2011.0,123.0
2012.0,120.52
2013.0,120.38
2014.0,125.8
2015.0,126.52
2016.0,134.54
2017.0,126.88
2018.0,127.1
2019.0,129.78
2020.0,116.42
